Date,Ticker,Shares Outstanding,Shares Outstanding Text
3/25/2010,GME,611300000,611.30M
6/3/2010,GME,606160000,606.16M
8/25/2010,GME,601410000,601.41M
11/24/2010,GME,605590000,605.59M
3/23/2011,GME,562800000,562.80M
6/1/2011,GME,565770000,565.77M
8/25/2011,GME,556320000,556.32M
11/23/2011,GME,545700000,545.70M
3/22/2012,GME,535920000,535.92M
5/29/2012,GME,521180000,521.18M
8/28/2012,GME,493720000,493.72M
11/26/2012,GME,484720000,484.72M
3/25/2013,GME,471350000,471.35M
6/4/2013,GME,470520000,470.52M
9/4/2013,GME,467590000,467.59M
12/4/2013,GME,463240000,463.24M
3/20/2014,GME,461220000,461.22M
6/4/2014,GME,455430000,455.43M
8/29/2014,GME,450670000,450.67M
12/3/2014,GME,434060000,434.06M
3/19/2015,GME,431070000,431.07M
6/2/2015,GME,426880000,426.88M
9/1/2015,GME,421960000,421.96M
12/1/2015,GME,418680000,418.68M
3/17/2016,GME,415500000,415.50M
5/31/2016,GME,415810000,415.81M
8/31/2016,GME,415930000,415.93M
11/29/2016,GME,407500000,407.50M
3/16/2017,GME,404840000,404.84M
5/30/2017,GME,405060000,405.06M
8/30/2017,GME,405230000,405.23M
11/28/2017,GME,405220000,405.22M
3/22/2018,GME,406330000,406.33M
6/5/2018,GME,407480000,407.48M
9/4/2018,GME,407790000,407.79M
12/4/2018,GME,407870000,407.87M
3/21/2019,GME,409070000,409.07M
6/4/2019,GME,409080000,409.08M
7/31/2019,GME,52750000,52.75M
9/4/2019,GME,361830000,361.83M
12/4/2019,GME,263690000,263.69M
2/1/2020,GME,257200000,257.20M
3/20/2020,GME,257830000,257.83M
3/30/2020,GME,257830000,257.83M
4/20/2020,GME,258330000,258.33M
5/2/2020,GME,258400000,258.40M
6/2/2020,GME,259040000,259.04M
8/1/2020,GME,260800000,260.80M
9/2/2020,GME,260650000,260.65M
10/31/2020,GME,260800000,260.80M
12/1/2020,GME,260590000,260.59M
1/30/2021,GME,261200000,261.20M
3/17/2021,GME,261340000,261.34M
4/1/2021,GME,261380000,261.38M
4/15/2021,GME,264340000,264.34M
4/26/2021,GME,277200000,277.20M
5/1/2021,GME,277200000,277.20M
6/1/2021,GME,277520000,277.52M
6/22/2021,GME,297520000,297.52M
7/31/2021,GME,303600000,303.60M
9/1/2021,GME,305970000,305.97M
10/30/2021,GME,303600000,303.60M
12/1/2021,GME,305400000,305.40M
1/29/2022,GME,303600000,303.60M
3/11/2022,GME,305360000,305.36M
4/8/2022,GME,305360000,305.36M
4/30/2022,GME,303600000,303.60M
5/26/2022,GME,304520000,304.52M
7/22/2022,GME,304520000,304.52M
7/30/2022,GME,304000000,304.00M
9/1/2022,GME,304530000,304.53M
10/29/2022,GME,304300000,304.30M
12/1/2022,GME,304580000,304.58M
1/28/2023,GME,304600000,304.60M
3/22/2023,GME,304680000,304.68M
4/21/2023,GME,304720000,304.72M
4/29/2023,GME,304700000,304.70M
6/1/2023,GME,304750000,304.75M
7/29/2023,GME,305200000,305.20M
8/31/2023,GME,305240000,305.24M
10/28/2023,GME,305500000,305.50M
11/30/2023,GME,305510000,305.51M
2/3/2024,GME,305700000,305.70M
3/20/2024,GME,305870000,305.87M
4/19/2024,GME,306190000,306.19M
5/4/2024,GME,306190000,306.19M
5/24/2024,GME,351190000,351.19M
6/3/2024,GME,351220000,351.22M
6/5/2024,GME,351220000,351.22M
6/11/2024,GME,426220000,426.22M
